,Priv Union Members (%),us_inf,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
879,11.7,1.4,0,0,4983476.5785535
880,11.6,1.8,0,0,-293.5737474459286
881,11.8,2.2,0,0,269715.79445107497
882,11.2,2.5,0,1,-44.336536370263175
883,10.1,2.3,0,1,1252040.2655945437
884,10.3,2.3,1,0,121986.82759059494
885,10.5,1.7,0,0,459.47716941747683
886,9.0,1.0,1,1,-90.32030991818182
887,8.7,1.7,0,0,282147.0816753377
888,8.5,2.1,0,0,3007100.2935086074
889,8.7,1.8,1,0,109723.23748767721
890,8.9,1.7,0,1,3199941.0349282585
891,7.8,1.8,0,1,376529.29596306954
892,8.3,2.2,1,0,801.9820622045454
893,8.6,1.8,0,1,-171.28343572884
894,7.8,2.1,1,1,0.0
895,8.0,2.2,0,1,4485076.056806499
896,8.3,1.7,0,0,-450.5698038366012
898,5.7,2.8,0,1,2080416.0159675959
899,5.7,3.0,0,0,-56.12783431764707
900,5.3,2.7,0,0,-654.3564818663809
901,5.7,2.4,0,0,-318.01229098174286
902,6.6,2.3,0,0,619289.5332435
903,6.6,2.1,0,0,-442.34966660250006
904,5.5,2.4,1,0,168094376.3761525
905,5.3,2.6,0,0,-1712.705905512032
906,3.5,2.4,0,0,0.0
907,4.8,1.4,0,0,238596.8966535
908,3.4,1.8,0,1,-441.8461049138889
909,3.4,2.2,0,0,0.0
910,4.9,2.5,0,0,3806483.7000435
911,3.8,2.3,0,0,-252.21659265697676
912,4.1,2.3,1,1,1005367.2824596784
913,3.1,1.7,0,1,-1193.431860102923
914,2.6,1.0,0,0,-436.05890341791047
915,2.9,1.7,0,0,0.0
916,2.8,2.1,0,0,0.0
917,2.3,1.8,0,0,0.0
918,3.4,1.7,0,0,575022.9475935
919,3.8,1.8,0,0,1425.724570127308
920,2.8,2.2,0,0,-442.5851811115364
921,3.6,1.8,0,0,0.0
922,4.1,2.1,0,0,68030941.7944383
923,3.6,2.2,0,1,795260.4331117118
924,3.6,1.7,0,0,-492.19204756211286
926,14.5,2.8,0,0,-50.90130128571429
927,16.5,3.0,0,0,21761968.58425535
928,15.8,2.7,0,0,361176.9126959691
929,15.5,2.4,0,1,381.0589538391977
930,14.1,2.3,0,1,-554.2578199464328
931,16.0,2.1,0,0,-148.6317997542857
932,13.8,2.4,1,0,93225931.13163954
933,13.6,2.6,0,0,-850.942083166055
934,12.2,2.4,0,0,3980.7936548332327
935,11.9,1.4,0,0,54993.30744269934
936,10.0,1.8,0,0,-198.98493317999998
937,12.0,2.2,0,0,6902479.556626019
938,12.5,2.5,0,0,-120.79567364016395
939,12.8,2.3,0,1,-201.40841214
940,13.9,2.3,0,1,11106570.315226533
941,12.7,1.7,0,1,-1300.3673198168863
942,10.8,1.0,0,0,733497.9317873999
943,10.8,1.7,0,1,567803.5871263023
944,11.1,2.1,1,0,-213.16101851900697
945,11.0,1.8,0,0,-122.26503802480558
946,11.9,1.7,0,0,-74.36016187826087
947,11.2,1.8,0,0,-66.68070468428571
948,9.7,2.2,0,0,-138.53889951595846
949,9.7,1.8,1,0,-16.897710792528517
950,11.1,2.1,0,0,35983129.16573262
951,11.6,2.2,0,0,7693300.058206477
952,9.6,1.7,0,0,-832.1899230326845
954,17.9,2.8,0,0,351882.5146317905
955,17.6,3.0,0,0,-165.92233302438893
956,16.0,2.7,0,0,-185.041451252125
