,Priv Union Members (%),state_inf,prop_rep,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
889,8.7,7.521377433706022,43.58384387975055,1,0,109723.23748767721
890,8.9,5.383499391463831,48.1652496891068,0,1,3199941.0349282585
891,7.8,5.1485399839092505,48.1652496891068,0,1,376529.29596306954
892,8.3,7.2410198129987835,44.51321293409688,1,0,801.9820622045454
893,8.6,2.9674676914209552,44.51321293409688,0,1,-171.28343572884
954,17.9,9.248784452861546,37.428013406692976,0,0,351882.5146317905
955,17.6,10.06494145987622,37.428013406692976,0,0,-165.92233302438893
956,16.0,9.887910648341514,31.70265055984735,0,0,-185.041451252125
957,16.0,7.51114736585099,31.70265055984735,0,0,554964.0874876
958,15.4,4.946401995126659,32.214358419683045,1,0,743910.3757100201
959,15.1,6.995951850482052,32.214358419683045,0,0,-380.7254754652856
960,15.3,13.359628957015502,32.1710351727437,1,0,68523855.3527658
961,16.7,10.951966641104004,32.1710351727437,0,1,-562.0929981851922
962,15.8,7.888033994218224,32.45624503165171,1,0,625185.1253757888
963,14.8,15.19407124309251,32.45624503165171,1,0,5623147.061581714
964,15.1,9.526245896481523,29.663660545264154,1,0,-334.2695758991357
965,16.1,15.10366060970465,29.663660545264154,1,1,323895.04838583997
966,14.7,9.290621589319992,24.75808036231462,0,1,-32.571472501333346
967,15.8,9.432020526321839,24.75808036231462,1,1,1352543.0643998368
968,14.4,14.601018927292063,23.312728104878026,0,0,508146.21429598506
969,14.0,2.511859599659627,23.312728104878026,0,0,206.85417888299997
970,13.7,10.588775472236067,33.9250655740912,1,1,880600.1066873618
971,13.5,12.873364871612548,33.9250655740912,0,0,10.691007102552163
972,13.3,7.3008144637711325,27.36766504560774,0,0,3611712.7318809023
973,15.1,7.617340822341623,27.36766504560774,0,0,254114.19829861945
974,14.9,6.951415375356218,31.956957383082084,0,1,276819.97829217394
975,15.9,-0.9085454686650118,31.956957383082084,0,1,406924.3175676
976,14.8,0.8340528856154883,27.446383571221894,1,1,196261.76076971443
977,15.0,6.790935815535426,27.446383571221894,1,1,234078.6312677731
982,14.8,9.944577935979492,58.373315984106775,0,0,-571.2742966099928
983,14.6,11.351043489283619,58.373315984106775,0,0,-568.5658951084583
984,15.1,9.919172644917108,49.92885930039095,0,0,161734.4990495205
985,14.4,7.950005639955449,49.92885930039095,1,0,797110.8678149342
986,14.5,4.937936915876673,51.925144765493684,0,0,357879.40362172
987,13.4,7.879714518078851,51.925144765493684,0,0,1182.416335959762
988,12.3,10.097867040419018,48.755604642753234,1,0,38293885.67117577
989,12.4,9.591294581016951,48.755604642753234,0,0,-661.0212315596178
990,11.6,3.369046311456403,56.22362471710941,0,0,1038874.0288059
991,11.2,11.113926983944822,56.22362471710941,1,0,9474834.26400795
992,10.5,12.054503568781328,51.12605252120862,0,0,-630.7515045223669
993,10.8,11.994593782795238,51.12605252120862,0,0,491.81565574000007
994,9.3,14.393854577824673,47.21782189465553,0,0,3211502.7204525014
995,9.0,11.373304707706989,47.21782189465553,1,1,1943357.9716508193
996,9.3,18.249954955226478,46.35914363438115,0,1,302330.04453286825
997,8.9,2.808494617996704,46.35914363438115,0,1,439.42123423781777
998,8.4,10.762492109301158,53.67131870815006,0,0,-140.17350384727274
999,8.6,13.1047770205857,53.67131870815006,0,1,296.52087352307694
1000,8.4,9.805037374965476,50.95621927584039,1,1,-265.79796470901823
1001,7.6,8.791650465217948,50.95621927584039,0,1,0.0
1002,7.4,9.64235888838283,59.02759885219493,0,0,0.0
1003,8.3,0.7525477821875182,59.02759885219493,1,0,3510219.5335949003
1004,7.6,0.11202609277738418,57.41305449705894,0,0,824.9287746315716
1005,7.9,5.253294139741271,57.41305449705894,0,1,-428.10067159864985
1038,13.7,9.131934881403092,41.797650711635036,0,0,237905.8011602238
1039,11.1,6.398475248526325,41.797650711635036,1,0,2905.439082477857
1040,11.2,15.949924645520497,41.76026413774352,0,0,296482.8873003797
1041,11.2,12.58544817588312,41.76026413774352,1,1,743.6363479300546
1042,9.2,8.320122512418383,36.82289378616361,0,1,-627.2435363684475
1043,9.4,12.003440523455012,36.82289378616361,0,0,2645980.67863283
1044,9.8,14.400528874669494,42.159524778437806,1,1,126512864.18744475
1045,9.1,13.274098222949448,42.159524778437806,0,0,-1624.475881877147
1046,9.4,9.87405041986349,42.65021385696375,1,0,-283.9543022562998
1047,8.9,12.801801749480092,42.65021385696375,0,1,121289.00379292622
1048,8.1,10.356476940855774,42.969159953190925,0,1,70801.74394680154
1049,7.7,12.257881617235578,42.969159953190925,1,1,1545.5635076576666
1050,7.5,15.176675398876306,41.069473727636115,0,1,562.6260966537037
1051,7.7,14.865070404270586,41.069473727636115,0,1,952342.7934962095
1052,9.0,16.524703201762403,25.908925301439695,1,1,729780.061413318
1053,8.9,10.851401786697568,25.908925301439695,0,1,-889.4732584214014
1054,9.1,9.055423576754373,45.96524588695888,0,0,1609645.8453972763
1055,8.8,16.794522511500066,45.96524588695888,1,1,457801.7417874911
1056,8.6,11.063150970432467,40.26764346364058,0,1,16066798.124897696
1057,7.0,4.82256423516636,40.26764346364058,0,1,261197.59725771367
1058,8.2,9.85029541189455,40.18116746237339,0,1,-163.20595853913042
